商品名称,规格,最新报价
菜籽粕,人民币元/吨,2699.73
早籼稻,人民币元/吨,2800.71
油菜籽,人民币元/吨,6450.35
菜籽油,人民币元/吨,13004.69
鸡蛋,元/吨,4804.51
强筋小麦,人民币元/吨,2828.71
普通小麦,人民币元/吨,2549.74
活猪,美分/磅,72.06
棉花1号,人民币元/吨,20777.92
菜牛,美分/磅,165.00
白糖,人民币元/吨,5826.41
木材,美元/板英尺,949.20
稻谷,美元/英担,13.91
黄油,美分/磅,204.87
豆粕（CBT）,美元/短吨,358.86
菜籽,加元/吨,1023.49
玉米（CBT）,美分/蒲式耳,586.19
大豆（CBT）,美分/蒲式耳,1250.12
豆油（CBT）,美分/磅,57.03
小麦（CBT）,美分/蒲式耳,799.17
燕麦（CBT）,美分/蒲式耳,737.17
玉米（日）,日元/吨,40075.99
大豆（日）,日元/吨,63993.6
红小豆,日元/30千克,12298.77
玉米（大连期结）,元/吨,2646.73
豆粕(大连),元/吨,3251.67
豆油（大连期结）,元/吨,9349.06
棕榈油(大连期结算),元/吨,9899.01
咖啡（美）,美分/磅,243.87
大豆2号,元/吨,4497.55
冻桔汁,美分/磅,126.33
可可（英）,英镑/吨,1610.83
棉花（美）,美分/磅,111.25
可可（美）,美元/吨,2452.75
大豆1号,元/吨,6135.38
咖啡（英）,美元/吨,2386.76
牛奶（四号）,美元/磅,19.56
活牛,美分/磅,138.21
糖（11号）,美分/磅,19.47
